name,lat,lon,radius,category,source,distance_from_center
집,37.494362,126.887653,0m,home,predefined,0.0
부산회집,37.494697,126.888215,500m,dining,osm,51.2226486762632
남도교회,37.493536,126.8873122,500m,religious,osm,105.50288785853627
구로경찰서,37.494911,126.8866503,500m,other,osm,111.66579499994472
구로구청,37.4954658,126.8874685,500m,other,osm,119.18292743365205
신한은행,37.4954291,126.8888549,500m,finance,osm,148.62922375592547
산너머남촌,37.495153,126.8893,500m,dining,osm,159.08041910395534
서울동구로우체국,37.494926,126.889557,500m,other,osm,168.8815108892957
가마산 명화사,37.4931035,126.8866275,500m,religious,osm,176.70368366061774
구로중학교앞,37.4941406,126.8899841,500m,other,osm,199.2379165463242
다울소공원,37.4925794,126.888337,500m,nature,osm,210.83541093117253
미리내주유소,37.496347,126.888258,500m,transport,osm,219.0730832050936
구로아트밸리 예술극장,37.496559,126.888832,500m,other,osm,256.3942330643092
강서수도사업소민원센터,37.4957809,126.8901215,500m,other,osm,258.12595224209304
구로구의회,37.4965538,126.8889918,500m,other,osm,261.43027568245043
구로중학교,37.4943732,126.8907275,500m,social,osm,262.4680408665971
교회,37.4954841,126.8907468,500m,religious,osm,289.50486870937914
서울특별시 교육청 과학전시관,37.496533,126.8857459,500m,other,osm,294.3848107097441
그린플러스 해담채,37.4955204,126.8909101,500m,other,osm,304.309296988948
서울구로초등학교,37.496905,126.8859689,500m,social,osm,318.1966808099813
구로4동주민센터,37.4915913,126.8891239,500m,social,osm,336.781988780003
구로구민회관,37.4971411,126.8895282,500m,other,osm,340.89865809364534
고대구로병원,37.4931259,126.8842468,500m,other,osm,341.06984908735757
식당들,37.4956719,126.8912843,500m,dining,osm,341.31760054559993
고려대학교구로병원,37.4922312,126.8848966,500m,health,osm,350.19125625768606
서울동구로초등학교,37.4948038,126.8925715,500m,social,osm,427.2627247013068
아홉길사랑교회,37.4975696,126.8849195,500m,religious,osm,430.4619591137727
경일교회,37.4959544,126.8922492,500m,religious,osm,431.89162504628126
영림중학교,37.4975939,126.8906322,500m,social,osm,435.00634044850557
아홉길사랑교회 주차장,37.497658,126.8847763,500m,transport,osm,445.8240988143984
교수연구동,37.4911582,126.8847292,500m,other,osm,450.06247281726615
낙원교회 맞은편,37.4975052,126.8843765,500m,other,osm,454.50471667405697
구로연세의원,37.4918228,126.8920456,500m,health,osm,476.1293656106746
구로공원,37.4974103,126.8838853,500m,nature,osm,476.5878861083262
백화점,37.4979881,126.8844962,500m,other,osm,490.04400253688044
신성주유소,37.495164,126.882259,500m,transport,osm,491.74422585784777
구로고등학교,37.4985364,126.8900449,1km,social,osm,500.5957608209354
이재성치과의원,37.4916257,126.8922254,1km,health,osm,502.0911985655036
진흥안경,37.4980515,126.8842633,1km,other,osm,507.9557592421856
아름다운교회,37.496916,126.8926154,1km,religious,osm,511.04707648234415
구로2동문고,37.491425,126.883333,1km,social,osm,512.665007667482
현대마트,37.4968134,126.8927231,1km,shopping,osm,513.0338491648117
새한빛 어린이집,37.4961798,126.8823663,1km,other,osm,514.0228102762367
구로리공원,37.4908855,126.8915506,1km,nature,osm,516.2791276806072
구로 꿈나무 도서관,37.489851,126.886477,1km,social,osm,520.1557280123941
약국,37.4981705,126.8842141,1km,other,osm,521.1312012423184
정현탑보석사우나,37.494063,126.893664,1km,nature,osm,522.9819822124557
구로2동 주민센터,37.491316,126.883232,1km,social,osm,527.3224124074125
구로경찰서,37.491298,126.88321,1km,other,osm,530.0998503172926
현대오일뱅크신구로주유소,37.497503,126.892347,1km,transport,osm,530.9746595562592
복원꼬치,37.498289,126.8842238,1km,dining,osm,531.2378936354584
구로주유소,37.490949,126.883532,1km,transport,osm,536.1653782411947
정내과,37.4913681,126.8925117,1km,health,osm,539.6990274049951
구로주유소,37.49086,126.883567,1km,transport,osm,541.2169862829294
서울구로4동우체국,37.490308,126.884277,1km,other,osm,550.3704514445585
구로변전소,37.4979718,126.8834016,1km,other,osm,550.9299408462977
기분좋은치과,37.489813,126.8903206,1km,health,osm,559.9227949773905
구로2동치안센터,37.49116,126.882873,1km,other,osm,562.6778522836925
세희 유치원,37.4920092,126.8933961,1km,social,osm,565.3389013185059
구로동 교회,37.4988543,126.8844074,1km,religious,osm,574.8508637839731
서울신구로초등학교,37.4994688,126.889266,1km,social,osm,577.266867202275
구로도서관,37.4985161,126.8919907,1km,other,osm,589.4221981603237
대림역4번출구,37.4944038,126.8944473,1km,other,osm,590.5964805075017
영등포농협,37.499882,126.887629,1km,finance,osm,607.6675525830627
이앤오 리더스 치과,37.48951,126.8909,1km,health,osm,612.3119186515175
메가MGC커피 구로이화교차로점,37.490658,126.893034,1km,dining,osm,626.0055717137689
